Start time          	End time            	Location	Type		Place
2011-12-03 13:29:22		2011-12-03 13:29:32		Basin		PIR			Bathroom
2011-12-03 13:29:48		2011-12-03 14:01:20		Seat		Pressure	Living
2011-12-03 14:11:10		2011-12-03 14:14:43		Basin		PIR			Bathroom
2011-12-03 14:18:11		2011-12-03 14:18:23		Maindoor	Magnetic	Entrance
2011-12-03 17:48:33		2011-12-03 17:48:37		Maindoor	Magnetic	Entrance
2011-12-03 17:50:14		2011-12-03 20:37:41		Seat		Pressure	Living
2011-12-03 20:37:49		2011-12-03 20:38:07		Maindoor	Magnetic	Entrance
2011-12-03 20:38:15		2011-12-03 23:53:24		Seat		Pressure	Living
2011-12-03 23:54:51		2011-12-03 23:55:21		Toilet		Flush		Bathroom
2011-12-03 23:55:18		2011-12-04 03:16:13		Seat		Pressure	Living
2011-12-04 03:19:17		2011-12-04 12:37:49		Bed			Pressure	Bedroom
2011-12-04 12:45:44		2011-12-04 12:46:15		Toilet		Flush		Bathroom
2011-12-04 12:46:11		2011-12-04 12:46:15		Cabinet		Magnetic	Bathroom
2011-12-04 12:46:20		2011-12-04 12:47:28		Basin		PIR			Bathroom
2011-12-04 12:50:56		2011-12-04 12:54:55		Shower		PIR			Bathroom
2011-12-04 12:56:08		2011-12-04 12:56:20		Fridge		Magnetic	Kitchen
2011-12-04 12:56:21		2011-12-04 12:56:33		Cupboard	Magnetic	Kitchen
2011-12-04 12:56:43		2011-12-04 12:58:48		Microwave	Electric	Kitchen
2011-12-04 12:56:47		2011-12-04 12:58:37		Toaster		Electric	Kitchen
2011-12-04 13:00:53		2011-12-04 13:58:10		Seat		Pressure	Living
2011-12-04 14:03:42		2011-12-04 14:04:13		Toilet		Flush		Bathroom
2011-12-04 14:11:50		2011-12-04 14:11:54		Maindoor	Magnetic	Entrance
2011-12-04 16:30:57		2011-12-04 16:31:01		Maindoor	Magnetic	Entrance
2011-12-04 16:34:00		2011-12-04 17:25:39		Seat		Pressure	Living
2011-12-04 17:27:03		2011-12-04 17:27:08		Fridge		Magnetic	Kitchen
2011-12-04 17:27:16		2011-12-04 17:43:56		Seat		Pressure	Living
2011-12-04 17:45:15		2011-12-04 17:45:19		Basin		PIR			Bathroom
2011-12-04 18:08:28		2011-12-04 18:57:52		Seat		Pressure	Living
2011-12-04 18:59:06		2011-12-04 18:59:33		Toilet		Flush		Bathroom
2011-12-04 18:59:09		2011-12-04 18:59:12		Basin		PIR			Bathroom
2011-12-04 18:59:53		2011-12-04 18:59:59		Fridge		Magnetic	Kitchen
2011-12-04 19:00:04		2011-12-04 22:20:59		Seat		Pressure	Living
2011-12-04 22:21:42		2011-12-04 22:22:10		Toilet		Flush		Bathroom
2011-12-04 22:21:45		2011-12-04 22:21:57		Basin		PIR			Bathroom
2011-12-04 22:22:19		2011-12-05 01:28:09		Seat		Pressure	Living
2011-12-05 01:31:34		2011-12-05 01:31:39		Basin		PIR			Bathroom
2011-12-05 01:35:10		2011-12-05 11:48:55		Bed			Pressure	Bedroom
2011-12-05 11:53:01		2011-12-05 11:53:31		Toilet		Flush		Bathroom
2011-12-05 11:57:47		2011-12-05 11:57:55		Basin		PIR			Bathroom
2011-12-05 12:01:23		2011-12-05 12:08:56		Shower		PIR			Bathroom
2011-12-05 12:10:06		2011-12-05 12:14:19		Seat		Pressure	Living
2011-12-05 12:14:49		2011-12-05 12:14:55		Cupboard	Magnetic	Kitchen
2011-12-05 12:14:58		2011-12-05 12:15:29		Fridge		Magnetic	Kitchen
2011-12-05 12:15:45 	2011-12-05 12:17:41		Toaster		Electric	Kitchen
2011-12-05 12:15:55		2011-12-05 12:17:58		Microwave	Electric	Kitchen
2011-12-05 12:16:02		2011-12-05 12:16:06		Fridge		Magnetic	Kitchen
2011-12-05 12:26:37		2011-12-05 14:26:46		Seat		Pressure	Living
2011-12-05 14:28:36		2011-12-05 14:28:42		Basin		PIR			Bathroom
2011-12-05 14:38:07		2011-12-05 14:38:32		Maindoor	Magnetic	Entrance
2011-12-05 14:55:00		2011-12-05 14:55:06		Maindoor	Magnetic	Entrance
2011-12-05 14:57:51		2011-12-05 15:00:54		Fridge		Magnetic	Kitchen
2011-12-05 15:00:10		2011-12-05 15:00:25		Cupboard	Magnetic	Kitchen
2011-12-05 15:00:55		2011-12-05 15:21:30		Cooktop		PIR			Kitchen
2011-12-05 15:00:58		2011-12-05 15:13:55		Microwave	Electric	Kitchen
2011-12-05 15:11:41		2011-12-05 15:11:45		Fridge		Magnetic	Kitchen
2011-12-05 15:15:04		2011-12-05 15:15:10		Fridge		Magnetic	Kitchen
2011-12-05 15:18:33		2011-12-05 15:18:37		Fridge		Magnetic	Kitchen
2011-12-05 15:33:05		2011-12-05 15:33:15		Fridge		Magnetic	Kitchen
2011-12-05 15:33:55		2011-12-05 15:33:59		Cupboard	Magnetic	Kitchen
2011-12-05 15:42:25 	2011-12-05 15:44:05		Basin		PIR			Bathroom
2011-12-05 15:44:16		2011-12-05 15:45:09		Toilet		Flush		Bathroom
2011-12-05 15:44:56		2011-12-05 16:02:10		Seat		Pressure	Living
2011-12-05 16:36:32		2011-12-05 16:37:00		Toilet		Flush		Bathroom
2011-12-05 16:37:15		2011-12-05 17:14:32		Seat		Pressure	Living
2011-12-05 17:17:07		2011-12-05 17:17:13		Maindoor	Magnetic	Entrance
2011-12-05 18:57:11		2011-12-05 18:57:16		Maindoor	Magnetic	Entrance
2011-12-05 19:01:42		2011-12-05 19:24:02		Seat		Pressure	Living
2011-12-05 19:24:11		2011-12-05 19:24:16		Fridge		Magnetic	Kitchen
2011-12-05 19:24:22		2011-12-05 20:07:19		Seat		Pressure	Living
2011-12-05 20:07:32		2011-12-05 20:07:47		Basin		PIR			Bathroom
2011-12-05 20:08:52		2011-12-05 20:09:19		Toilet		Flush		Bathroom
2011-12-05 20:20:20		2011-12-05 21:06:25		Seat		Pressure	Living
2011-12-05 21:06:35		2011-12-05 21:06:41		Basin		PIR			Bathroom
2011-12-05 21:06:43		2011-12-05 21:07:08		Toilet		Flush		Bathroom
2011-12-05 21:06:44		2011-12-05 21:07:00		Basin		PIR			Bathroom
2011-12-05 21:07:14		2011-12-06 00:38:24		Seat		Pressure	Living
2011-12-06 00:39:56		2011-12-06 00:40:23		Toilet		Flush		Bathroom
2011-12-06 00:40:35		2011-12-06 00:40:41		Basin		PIR			Bathroom
2011-12-06 00:42:37		2011-12-06 10:07:20		Bed			Pressure	Bedroom
2011-12-06 11:08:53		2011-12-06 11:09:26		Toilet		Flush		Bathroom
2011-12-06 11:09:49		2011-12-06 11:09:52		Basin		PIR			Bathroom
2011-12-06 11:10:06		2011-12-06 11:10:09		Cabinet		Magnetic	Bathroom
2011-12-06 11:10:08		2011-12-06 11:11:45		Basin		PIR			Bathroom
2011-12-06 11:12:19		2011-12-06 11:25:57		Shower		PIR			Bathroom
2011-12-06 11:30:19		2011-12-06 11:33:26		Toaster		Electric	Kitchen
2011-12-06 11:30:22		2011-12-06 11:30:46		Cupboard	Magnetic	Kitchen
2011-12-06 11:30:52		2011-12-06 11:31:23		Fridge		Magnetic	Kitchen
2011-12-06 11:31:34		2011-12-06 11:32:49		Microwave	Electric	Kitchen
2011-12-06 11:39:34		2011-12-06 14:37:50		Seat		Pressure	Living
2011-12-06 14:40:53		2011-12-06 14:41:14		Cupboard	Magnetic	Kitchen
2011-12-06 14:41:16		2011-12-06 15:00:58		Cooktop		PIR			Kitchen
2011-12-06 14:41:22		2011-12-06 14:51:11		Microwave	Electric	Kitchen
2011-12-06 14:48:47		2011-12-06 14:48:52		Fridge		Magnetic	Kitchen
2011-12-06 14:52:17		2011-12-06 14:52:22		Fridge		Magnetic	Kitchen
2011-12-06 14:56:50		2011-12-06 14:56:54		Fridge		Magnetic	Kitchen
2011-12-06 15:17:49		2011-12-06 15:18:18		Seat		Pressure	Living
2011-12-06 15:18:35		2011-12-06 15:20:32		Basin		PIR			Bathroom
2011-12-06 15:21:46		2011-12-06 17:11:04		Seat		Pressure	Living
2011-12-06 17:18:22		2011-12-06 17:18:49		Toilet		Flush		Bathroom
2011-12-06 17:19:04		2011-12-06 17:19:14		Basin		PIR			Bathroom
2011-12-06 17:19:34		2011-12-06 18:06:26		Seat		Pressure	Living
2011-12-06 18:07:03		2011-12-06 18:07:15		Basin		PIR			Bathroom
2011-12-06 18:07:36		2011-12-06 19:22:33		Seat		Pressure	Living
2011-12-06 19:22:50		2011-12-06 19:22:55		Fridge		Magnetic	Kitchen
2011-12-06 19:25:56		2011-12-06 19:26:20		Basin		PIR			Bathroom
2011-12-06 19:40:28		2011-12-07 00:07:38		Seat		Pressure	Living
2011-12-07 00:07:47		2011-12-07 00:07:57		Basin		PIR			Bathroom
2011-12-07 00:08:10		2011-12-07 00:54:50		Seat		Pressure	Living
2011-12-07 00:57:29		2011-12-07 00:57:53		Toilet		Flush		Bathroom
2011-12-07 00:59:56		2011-12-07 10:45:40		Bed			Pressure	Bedroom
2011-12-07 10:49:26		2011-12-07 10:49:54		Toilet		Flush		Bathroom
2011-12-07 10:50:38		2011-12-07 10:50:43		Cabinet		Magnetic	Bathroom
2011-12-07 10:50:45		2011-12-07 11:04:14		Basin		PIR			Bathroom
2011-12-07 11:04:19		2011-12-07 11:04:25		Cabinet		Magnetic	Bathroom
2011-12-07 11:05:51		2011-12-07 11:11:32		Shower		PIR			Bathroom
2011-12-07 11:12:17		2011-12-07 11:15:06		Toaster		Electric	Kitchen
2011-12-07 11:12:35		2011-12-07 11:12:52		Cupboard	Magnetic	Kitchen
2011-12-07 11:12:59		2011-12-07 11:13:13		Fridge		Magnetic	Kitchen
2011-12-07 11:13:20		2011-12-07 11:17:14		Microwave	Electric	Kitchen
2011-12-07 11:22:58		2011-12-07 13:56:10		Seat		Pressure	Living
2011-12-07 14:03:34		2011-12-07 14:03:42		Cupboard	Magnetic	Kitchen
2011-12-07 14:04:32		2011-12-07 14:22:12		Cooktop		PIR			Kitchen
2011-12-07 14:04:39		2011-12-07 14:13:34		Microwave	Electric	Kitchen
2011-12-07 14:13:16		2011-12-07 14:13:22		Fridge		Magnetic	Kitchen
2011-12-07 14:14:59		2011-12-07 14:15:04		Fridge		Magnetic	Kitchen
2011-12-07 14:27:30		2011-12-07 14:27:34		Cupboard	Magnetic	Kitchen
2011-12-07 14:27:39		2011-12-07 14:27:44		Fridge		Magnetic	Kitchen
2011-12-07 14:41:59		2011-12-07 15:28:03		Seat		Pressure	Living
2011-12-07 15:31:23		2011-12-07 15:31:41		Basin		PIR			Bathroom
2011-12-07 15:31:46		2011-12-07 15:32:18		Toilet		Flush		Bathroom
2011-12-07 15:32:15		2011-12-07 16:11:28		Seat		Pressure	Living
2011-12-07 16:15:26		2011-12-07 16:21:09		Basin		PIR			Bathroom
2011-12-07 16:25:45		2011-12-07 16:25:52		Maindoor	Magnetic	Entrance
2011-12-07 18:12:30		2011-12-07 18:12:36		Maindoor	Magnetic	Entrance
2011-12-07 18:14:56		2011-12-07 18:14:59		Basin		PIR			Bathroom
2011-12-07 18:15:03		2011-12-07 18:15:29		Toilet		Flush		Bathroom
2011-12-07 18:15:51		2011-12-07 19:21:46		Seat		Pressure	Living
2011-12-07 19:23:32		2011-12-07 19:23:39		Maindoor	Magnetic	Entrance
2011-12-07 19:23:55		2011-12-07 19:24:00		Fridge		Magnetic	Kitchen
2011-12-07 19:24:02		2011-12-07 19:24:05		Cupboard	Magnetic	Kitchen
2011-12-07 19:28:41		2011-12-07 19:28:46		Fridge		Magnetic	Kitchen
2011-12-07 20:37:50		2011-12-07 20:37:51		Cupboard	Magnetic	Kitchen
2011-12-07 20:38:13		2011-12-07 20:38:18		Fridge		Magnetic	Kitchen
2011-12-07 20:39:16		2011-12-07 20:39:44		Toilet		Flush		Bathroom
2011-12-07 20:40:29		2011-12-07 20:42:35		Seat		Pressure	Living
2011-12-07 20:47:11		2011-12-07 20:47:46		Maindoor	Magnetic	Entrance
2011-12-07 20:52:23		2011-12-07 23:19:30		Seat		Pressure	Living
2011-12-07 23:19:40		2011-12-07 23:19:56		Basin		PIR			Bathroom
2011-12-07 23:20:16		2011-12-08 01:32:32		Seat		Pressure	Living
2011-12-08 01:39:41		2011-12-08 11:14:29		Bed			Pressure	Bedroom
2011-12-08 11:17:37		2011-12-08 11:17:48		Basin		PIR			Bathroom
2011-12-08 11:17:58		2011-12-08 11:18:30		Toilet		Flush		Bathroom
2011-12-08 11:18:02		2011-12-08 11:18:05		Cabinet		Magnetic	Bathroom
2011-12-08 11:18:10		2011-12-08 11:18:13		Basin		PIR			Bathroom
2011-12-08 11:19:22		2011-12-08 11:24:17		Shower		PIR			Bathroom
2011-12-08 11:25:12		2011-12-08 11:28:25		Toaster		Electric	Kitchen
2011-12-08 11:25:18		2011-12-08 11:25:39		Cupboard	Magnetic	Kitchen
2011-12-08 11:26:05		2011-12-08 11:26:26		Fridge		Magnetic	Kitchen
2011-12-08 11:26:31		2011-12-08 11:28:28		Cooktop		PIR			Kitchen
2011-12-08 11:26:35		2011-12-08 11:28:24		Microwave	Electric	Kitchen
2011-12-08 11:36:09		2011-12-08 13:41:19		Seat		Pressure	Living
2011-12-08 14:04:49		2011-12-08 14:05:01		Basin		PIR			Bathroom
2011-12-08 14:10:03		2011-12-08 14:10:07		Maindoor	Magnetic	Entrance
2011-12-08 16:21:37		2011-12-08 16:21:41		Maindoor	Magnetic	Entrance
2011-12-08 16:24:27		2011-12-08 22:13:23		Seat		Pressure	Living
2011-12-08 22:13:35		2011-12-08 22:13:49		Basin		PIR			Bathroom
2011-12-08 22:14:14		2011-12-08 23:12:37		Seat		Pressure	Living
2011-12-08 23:14:09		2011-12-08 23:14:27		Basin		PIR			Bathroom
2011-12-08 23:14:35		2011-12-09 01:03:07		Seat		Pressure	Living
2011-12-09 01:04:24		2011-12-09 01:05:43		Basin		PIR			Bathroom
