Start time          	End time            	Activity	
2011-12-05 16:37:15		2011-12-05 17:14:32		Spare_Time/TV		
2011-12-05 17:17:07		2011-12-05 18:57:16		Leaving	
2011-12-05 19:01:42		2011-12-05 19:24:02		Spare_Time/TV		
2011-12-05 19:24:11		2011-12-05 19:24:16		Snack	
2011-12-05 19:24:22		2011-12-05 20:07:19		Spare_Time/TV		
2011-12-05 20:07:32		2011-12-05 20:07:47		Grooming	
2011-12-05 20:08:12		2011-12-05 20:08:52		Toileting	
2011-12-05 20:09:00		2011-12-05 21:06:25		Spare_Time/TV		
2011-12-05 21:06:35		2011-12-05 21:06:43		Toileting	
2011-12-05 21:06:44		2011-12-05 21:07:00		Grooming	
2011-12-05 21:07:14		2011-12-06 00:38:24		Spare_Time/TV		
2011-12-06 00:39:01		2011-12-06 00:40:41		Toileting	
2011-12-06 00:42:37		2011-12-06 10:07:20		Sleeping		
2011-12-06 11:08:00		2011-12-06 11:08:53		Toileting	
2011-12-06 11:09:49		2011-12-06 11:11:45		Grooming	
2011-12-06 11:12:19		2011-12-06 11:25:57		Showering	
2011-12-06 11:30:19		2011-12-06 11:35:26		Breakfast	
2011-12-06 11:39:34		2011-12-06 14:37:50		Spare_Time/TV		
2011-12-06 14:40:53		2011-12-06 15:15:58		Lunch		
2011-12-06 15:18:35		2011-12-06 15:20:32		Grooming	
2011-12-06 15:21:46		2011-12-06 17:11:04		Spare_Time/TV		
2011-12-06 17:13:04		2011-12-06 17:19:04		Toileting	
2011-12-06 17:19:34		2011-12-06 18:06:26		Spare_Time/TV		
2011-12-06 18:07:03		2011-12-06 18:07:15		Grooming	
2011-12-06 18:07:36		2011-12-06 19:22:33		Spare_Time/TV		
2011-12-06 19:22:50		2011-12-06 19:22:55		Snack	
2011-12-06 19:25:56		2011-12-06 19:26:20		Grooming	
2011-12-06 19:40:28		2011-12-07 00:07:38		Spare_Time/TV		
2011-12-07 00:07:47		2011-12-07 00:07:57		Grooming	
2011-12-07 00:08:10		2011-12-07 00:54:50		Spare_Time/TV		
2011-12-07 00:57:29		2011-12-07 00:57:53		Toileting	
2011-12-07 00:59:56		2011-12-07 10:45:40		Sleeping		
2011-12-07 10:46:15		2011-12-07 10:49:26		Toileting	
2011-12-07 10:50:38		2011-12-07 11:04:19		Grooming	
2011-12-07 11:05:51		2011-12-07 11:11:32		Showering	
2011-12-07 11:12:17		2011-12-07 11:20:04		Breakfast	
2011-12-07 11:22:58		2011-12-07 13:56:10		Spare_Time/TV		
2011-12-07 14:03:34		2011-12-07 14:39:30		Lunch		
2011-12-07 14:41:59		2011-12-07 15:28:03		Spare_Time/TV		
2011-12-07 15:31:23		2011-12-07 15:31:41		Grooming	
2011-12-07 15:31:42		2011-12-07 15:31:46		Toileting	
2011-12-07 15:32:15		2011-12-07 16:11:28		Spare_Time/TV		
2011-12-07 16:15:26		2011-12-07 16:21:09		Grooming	
2011-12-07 16:25:45		2011-12-07 18:12:36		Leaving	
2011-12-07 18:14:56		2011-12-07 18:14:59		Grooming	
2011-12-07 18:15:00		2011-12-07 18:15:03		Toileting	
2011-12-07 18:15:51		2011-12-07 19:21:46		Spare_Time/TV		
2011-12-07 19:23:55		2011-12-07 19:28:46		Snack	
2011-12-07 20:37:50		2011-12-07 20:38:18		Snack	
2011-12-07 20:39:16		2011-12-07 20:39:44		Toileting	
2011-12-07 20:40:29		2011-12-07 20:42:35		Spare_Time/TV		
2011-12-07 20:52:23		2011-12-07 23:19:30		Spare_Time/TV		
2011-12-07 23:19:40		2011-12-07 23:19:56		Toileting	
2011-12-07 23:20:16		2011-12-08 01:32:32		Spare_Time/TV		
2011-12-08 01:39:41		2011-12-08 11:14:29		Sleeping		
2011-12-08 11:17:37		2011-12-08 11:17:48		Grooming	
2011-12-08 11:17:49		2011-12-08 11:17:58		Toileting	
2011-12-08 11:18:02		2011-12-08 11:18:13		Grooming	
2011-12-08 11:19:22		2011-12-08 11:24:17		Showering	
2011-12-08 11:25:12		2011-12-08 11:34:01		Breakfast	
2011-12-08 11:36:09		2011-12-08 13:41:19		Spare_Time/TV		
2011-12-08 14:04:49		2011-12-08 14:05:01		Grooming	
2011-12-08 14:10:03		2011-12-08 16:21:41		Leaving	
2011-12-08 16:24:27		2011-12-08 22:13:23		Spare_Time/TV		
2011-12-08 22:13:35		2011-12-08 22:13:49		Grooming	
2011-12-08 22:14:14		2011-12-08 23:12:37		Spare_Time/TV		
2011-12-08 23:14:09		2011-12-08 23:14:27		Grooming	
2011-12-08 23:14:35		2011-12-09 01:03:07		Spare_Time/TV		
2011-12-09 01:04:24		2011-12-09 01:05:43		Grooming	
2011-12-09 01:16:42		2011-12-09 10:49:07		Sleeping		
2011-12-09 10:51:56		2011-12-09 10:52:27		Toileting	
2011-12-09 10:52:30		2011-12-09 10:52:50		Grooming	
2011-12-09 10:54:58		2011-12-09 10:58:21		Showering	
2011-12-09 11:00:13		2011-12-09 11:08:15		Breakfast	
2011-12-09 11:09:35		2011-12-09 12:32:57		Spare_Time/TV		
2011-12-09 12:33:21		2011-12-09 12:42:15		Grooming	
2011-12-09 12:44:16		2011-12-09 16:33:56		Leaving	
2011-12-09 16:45:53		2011-12-09 16:59:52		Spare_Time/TV		
2011-12-09 17:01:37		2011-12-09 17:04:57		Toileting	
2011-12-09 17:06:38		2011-12-09 17:59:19		Spare_Time/TV		
2011-12-09 17:59:25		2011-12-09 17:59:27		Grooming	
2011-12-09 18:02:18		2011-12-09 18:19:03		Spare_Time/TV		
2011-12-09 18:32:02		2011-12-09 18:48:36		Leaving	
2011-12-09 19:19:54		2011-12-09 21:04:31		Spare_Time/TV		
2011-12-09 21:04:37		2011-12-09 21:04:50		Grooming	
2011-12-09 21:04:59		2011-12-10 00:16:21		Spare_Time/TV		
2011-12-10 00:16:31		2011-12-10 00:16:49		Grooming	
2011-12-10 00:17:05		2011-12-10 00:46:13		Spare_Time/TV		
2011-12-10 00:50:47		2011-12-10 09:26:17		Sleeping		
2011-12-10 09:28:00		2011-12-10 09:35:48		Toileting	
2011-12-10 09:37:16		2011-12-10 09:46:27		Grooming	
2011-12-10 09:47:44		2011-12-10 09:52:42		Showering	
2011-12-10 09:55:18		2011-12-10 10:02:10		Breakfast	
2011-12-10 10:03:20		2011-12-10 12:34:09		Spare_Time/TV		
2011-12-10 12:52:54		2011-12-10 12:53:39		Grooming	
2011-12-10 13:04:03		2011-12-10 17:07:03		Leaving	
2011-12-10 17:11:23		2011-12-10 20:16:51		Spare_Time/TV		
2011-12-10 20:21:54		2011-12-10 20:23:16		Grooming	
2011-12-10 20:25:40		2011-12-11 00:56:05		Leaving	
2011-12-11 01:01:41		2011-12-11 02:26:29		Spare_Time/TV		
2011-12-11 02:27:23		2011-12-11 02:28:44		Grooming	
2011-12-11 02:31:15		2011-12-11 11:57:34		Sleeping		
2011-12-11 11:58:17		2011-12-11 12:01:27		Toileting	
2011-12-11 12:02:25		2011-12-11 12:02:39		Grooming	
2011-12-11 12:02:56		2011-12-11 12:18:42		Showering	
2011-12-11 12:21:57		2011-12-11 12:30:09		Breakfast	
2011-12-11 12:32:49		2011-12-11 14:26:18		Spare_Time/TV		
2011-12-11 14:34:12		2011-12-11 15:26:17		Lunch		
2011-12-11 15:28:59		2011-12-11 15:30:14		Toileting	
2011-12-11 15:41:34		2011-12-11 15:43:30		Grooming	
2011-12-11 15:43:51		2011-12-11 21:41:48		Spare_Time/TV		
